sku,producto,tipo,marca,unidad,precio_venta_referencia,costo_referencia,etiqueta_nuevo
SKU-6A944058B9,Lapicero Trilux - 035,Lapicero,Faber Castell,Unidad,1.0,0.7,true
SKU-F5EC060813,Lapicero Trilux Azul-032,Lapicero,Faber Castell,Unidad,1.0,0.44,false
SKU-60D09319A8,Lapicero Trilux Negro-032,Lapicero,Faber Castell,Unidad,1.0,0.44,false
SKU-7B58D3DC43,Lapicero Trilux Rojo-032,Lapicero,Faber Castell,Unidad,1.0,0.44,false
SKU-E29E5C3C39,Lapicero Trilux-031,Lapicero,Faber Castell,Unidad,1.0,0.4783,false
SKU-0868F564AF,lapiceros capibara,,,unidad,0.0,0.0,true
SKU-64BDAEE8CD,lapiceros happy,,,unidad,0.0,0.0,true
SKU-44763E1EDC,lapiceros kuromi,,,unidad,0.0,0.0,true
SKU-B8814F277F,lapiceros osito,,,unidad,0.0,0.0,true
SKU-43639DD892,Lapices de Color largos x 12,Colores,Layconsa,Unidad,6.0,4.66,false
SKU-9B7EDEA31E,Lapiz 2B,Lapiz,Vikingo,Unidad,1.0,0.5,false
SKU-308DF87D2B,Lapiz 2B Titan,Lapiz,Faber Castell,Unidad,1.5,0.75,true
SKU-02B3887529,Lapiz Bicolor,Lapiz,Artesco,Unidad,1.5,0.8333,false
SKU-47649F38F3,Lapiz Bicolor,Lapiz,Layconsa,Unidad,1.0,0.5813,false
SKU-81A994DEC0,Lapiz Chequeo Rojo,Lapiz,Artesco,Unidad,1.0,0.5,false
SKU-32111CF5F0,Lapiz Chequeo Rojo,Lapiz,Layconsa,Unidad,1.0,0.5833,false
SKU-8C03C7B0A4,lapiz con diseño,,,unidad,0.0,0.0,true
SKU-2AC9B9F61B,lapiz de color pequeño x 12,Colores,Layconsa,Unidad,4.0,2.8327,false
SKU-8FC03EDBA8,Lapiz Grazo Negro,Lapiz,Layconsa,Unidad,3.5,2.0,true
SKU-CC7C567DF1,Lapiz Jumbo,Lapiz,Layconsa,unidad,0.0,0.0,true
SKU-4985AB403E,Lapiz Punsonez,Lapiz,,Unidad,0.7,0.28,true
SKU-ACD539DCF8,Lapiz Semi Negro,Lapiz,Layconsa,Unidad,3.5,2.5,true
SKU-90944B7E8F,Lapiz tecnico 6B,Lapiz,Layconsa,Unidad,2.0,1.0,true
SKU-3D1BE72419,Lentejuelas grandes,,,Unidad,1.0,0.4,false
SKU-4B882EFB24,Lentejuelas JhinPequeñas,,,Unidad,1.0,0.6667,false
SKU-894F4DE5BD,Libro de actas 100f,,,Unidad,7.0,3.7,false
SKU-6883152A26,Libro de actas 200f,,,Unidad,14.0,7.2,false
SKU-FE809B4294,Libro de Cuentos,,,Unidad,4.0,1.5,true
SKU-676E05737E,liga de lana,,,Paquete,2.5,1.5,false
SKU-3198E087D3,liga para cabello,,,Paquete,2.0,1.0,false
SKU-371E102C11,llajes grande,,,Unidad,3.5,2.3,false
SKU-C61C6AC664,llajes pequeños,,,unidad,0.0,0.0,false
SKU-D7B21404F3,Llavero capibara monedero,,,unidad,0.0,0.0,true
SKU-4D785AB75B,Llavero capibara televisor,,,unidad,0.0,0.0,true
SKU-06298A559F,loncheras,,,unidad,0.0,0.0,true
SKU-5B234D9B53,Luces de colors 200 leds,,,Unidad,18.0,15.0,false
SKU-1A61EF5307,Meseros Personales - Niños,,,Unidad,2.5,1.5,false
SKU-0F68E2EC13,Micas A4,,Artesco,Unidad,1.0,0.38,true
SKU-A8C9B88E81,micas con diseño,,,unidad,0.0,0.0,true
SKU-93E5BF3071,Microporoso escarchado A4,,,unidad,0.0,0.0,true
SKU-96A54B592D,Microporoso Glitter self Adhesivo letras escarchados,,,Unidad,2.5,0.8,true
SKU-E541A2F517,Mistura Amarilla,,,unidad,1.0,8.0,false
SKU-45575800B4,Mistura de Color,,,unidad,1.0,8.0,false
SKU-12188D3F87,moñeras,,,Unidad,1.0,0.5357,false
SKU-092DBFBBB5,muñeca 2610,Juguetes,,Unidad,12.0,8.0,false
SKU-25E6A5907E,muñeca con accesorios 8260,Juguetes,,Unidad,9.0,6.5,false
SKU-4B01AE4F36,muñeca con accesorios 8280,Juguetes,,Unidad,16.0,13.0,false
SKU-4797BF2879,muñeca con accesorios LY 2310,Juguetes,,Unidad,16.0,12.0,false
SKU-719315C9EF,Nombre de cuaderno,,,Unidad,0.2,0.1,false
SKU-B2BE8E20C5,Obras Literarias,Obras Literarias,,Unidad,5.0,3.5,false
SKU-D0B9BAA1A3,Ojitos,,,Unidad,1.0,0.6667,false
SKU-0E6AA9F21D,Paletas de pinturas,Paleta,,Unidad,3.0,1.1667,true
SKU-B977212681,Papel Arcoiris,Papel,,1/2 millar,30.0,19.0,false
SKU-DDAC91E10D,Papel boom,Papel,,unidad,0.0,0.0,true
SKU-2544F733EC,Papel boom 70 gr,Papel,,unidad,0.0,0.0,true
SKU-34FB243C18,papel boom acolor pastel,,,unidad,0.0,0.0,true
SKU-BB482D8842,Papel celofan,Papel,,Unidad,1.0,0.44,false
SKU-9FCECC1704,Papel Cometa,Papel,,Unidad,0.5,0.2,true
SKU-1EDA4B9225,Papel Corrospum,Papel,,Unidad,5.0,3.5,true
SKU-103C7E2AE9,Papel corrugado,Papel,,Unidad,4.0,2.4,false
SKU-283B2C011D,Papel Craft,Papel,,Unidad,1.0,0.3194,false
SKU-7762F9C08A,Papel Crepe,Papel,,Unidad,1.0,0.6,true
SKU-E819015A56,Papel Cuadernillo,Papel,,Unidad,0.2,0.0,false
SKU-E51E19D0B3,Papel Cuadriculado 1x1,Papel,,Unidad,0.7,0.219,false
SKU-B82DE634A2,Papel Cuadrimax 2x2,Papel,,Unidad,0.7,0.205,false
SKU-F0BB6DEF54,Papel de regalo,Papel,,Unidad,0.7,0.2795,false
SKU-78A62B9611,Papel Lustre,Papel,,Unidad,0.5,0.2,true
SKU-9FB3EB5C65,papel lustre blanco y surtido a color,Papel,,unidad,0.0,0.0,true
SKU-A47A5E460A,Papel microporoso escarchado,Papel,,Unidad,5.0,3.0,true
SKU-A4C46F4DA5,Papel microporoso liso,,,unidad,0.0,0.0,true
SKU-3023CF7487,Papel Punzones A4,Papel,,Unidad,3.0,1.5,true
SKU-9D4E4EE716,Papel Sedita,Papel,,Unidad,0.5,0.1356,true
SKU-D80DB7710E,papel sedita,,,unidad,0.0,0.0,true
SKU-FD56706B4D,papel silufan,,,unidad,1.0,0.4333,false
SKU-4EE3C50F1D,Papel suave higienico,,,unidad,0.0,0.0,true
SKU-B1B6F52169,papel toalla,,,unidad,0.0,0.0,true
SKU-6884E99187,Papelote blanco,Papel,,Unidad,0.7,0.2,false
SKU-105EDC100D,paquete de ganchos de 6 pares,,,Paquete,0.5,0.125,false
SKU-B513B72D31,pares de pilis,,,pares,1.0,0.3,false
SKU-77F19E15CF,Pasta dental,,,unidad,0.0,0.0,true
SKU-CD3F82FF5C,Peine con cola,,,Unidad,1.0,0.5,false
SKU-BEC3F203A0,Peine grande,,,Unidad,1.0,0.5,false
SKU-DFEAA60E9C,Peine Pequeño,,,Unidad,0.8,0.24,false
SKU-F7BC5C0A44,Pelota,Juguetes,,Unidad,13.0,9.0,false
SKU-8D8B2631DB,Pelotas de trapo,,,unidad,0.0,0.0,true
SKU-D5444E56E1,pelotitas de llajes,,,unidad,0.0,0.0,false
SKU-94488B3896,Percheros,,,Unidad,1.5,0.6262,false
SKU-CBB8FF3308,Perforador,Perforador,Artesco,Unidad,12.0,5.5,false
SKU-449B9500E7,Perforador,Perforador,Arteza,Unidad,9.0,4.5,false
SKU-6F3AFF7E6F,Perforador stapler,Perforador,,Unidad,9.0,4.5,false
SKU-2BEED389E4,perlas adornos,,,unidad,0.0,0.0,true
SKU-752D174473,Pincel Escolar 1-6 Besco,Pincel,,Unidad,1.0,0.6664,false
SKU-C34DBFF5C5,Pincel Sobre,,,Unidad,2.0,1.1667,true
SKU-D8947D85F1,Pincel surtido 0/00/000,Pincel,,unidad,0.0,0.0,true
SKU-4C5B02D17F,Pintura Brillo Escarchado,Tempera,,Unidad,3.0,0.0,false
SKU-AF85D08933,pinza de 12 und,,,Paquete,1.0,0.6667,false
SKU-0C7D0AC4E6,pirañas grandes,,,Unidad,1.5,1.5,false
SKU-2B270DE01B,Piñes dedecoración,,,Unidad,1.0,0.6667,false
SKU-FF0A8D4DCB,Plastilina,plastilina,Layconsa,Unidad,5.5,2.9167,false
SKU-039AB24A72,Platilina ultra suave x6,plastilina,Artesco,unidad,0.0,0.0,true
SKU-68D64EF0A8,Plumon 2.3mm,Plumon,Faber Castell,Unidad,3.0,1.25,false
SKU-FEE239E19B,Plumon Acrilico L-123,Plumon,Layconsa,Unidad,2.5,1.25,false
SKU-DCB1B82D14,Plumon de pizarra vikingo x12,,,unidad,0.0,0.0,true
SKU-8D86A147F9,Plumon fabercito de 10 und,Plumon,Faber Castell,unidad,0.0,0.0,true
SKU-BA273CD9CC,Plumon indeleble azul y negro,Plumon,Eco,unidad,0.0,0.0,true
SKU-7AA172D62E,Plumon Jumbo 123,Plumon,Faber Castell,Unidad,5.0,3.125,false
SKU-78B895FADB,Plumon L-47 papel,Plumon,Layconsa,unidad,0.0,0.0,true
SKU-6381846E56,Plumon marcador Jumbo L-47 x12,Plumon,Layconsa,Unidad,15.0,11.0,true
SKU-2606E9183E,Plumon Pizzarra,Plumon,Arteza,Unidad,3.5,2.0,false
SKU-1C8518A3F6,Plumon school L-45 x 12,Plumon,Layconsa,unidad,0.0,0.0,true
SKU-7AA60686F3,Plumones Marcador 6 uni -,Plumon,Faber Castell,Unidad,5.0,4.0,false
SKU-54BDA3B77E,Plumones Marcador Fibre Tips - 12 uni,Plumon,Faber Castell,Unidad,8.0,3.1667,false
SKU-3AD10ADE3E,Pompones,,,Unidad,3.5,0.0,false
SKU-5FE2F611DF,Portafolio Papel,Portafolio,,Unidad,8.0,5.0,true
SKU-3BE02203E7,posit cuadriculado,,,unidad,0.0,0.0,true
SKU-D9A535C356,Pozzis limpiatipo,,,Unidad,4.0,1.825,true
SKU-479171A7EE,Pulsera ojito,,,Unidad,1.5,0.6364,false
SKU-8601F96067,Puntero,,,unidad,0.0,0.0,true
SKU-00358783C1,Ray Perú y Artesco,Portafolio,,Unidad,10.0,5.3333,false
SKU-67EC263080,Regla expandible,,,unidad,0.0,0.0,true
SKU-FAB7A65F90,Reglas de 20 cm,Regla,Layconsa,Unidad,1.0,0.5579,false
SKU-AB58B8B259,Reglas de 30 cm,Regla,Artesco,Unidad,1.5,0.6408,false
SKU-657537C0BB,Resaltador,,,Unidad,2.5,1.3333,false
SKU-250A95296D,Resaltador pastel x 6 und,Resaltador,,unidad,0.0,0.0,true
SKU-5253FC1878,Rompecabezas de 20 piesas,Rompecabezas,,Unidad,10.0,5.8261,false
SKU-114F4CCCFD,Rompecabezas de 50 piesas,Rompecabezas,,Unidad,15.0,15.0,false
SKU-44D2FC2D50,rosas,,,unidad,0.0,0.0,true
SKU-383B65F71F,rosas con osito,,,unidad,0.0,0.0,true
SKU-0C2AB09E16,rositas x 3,,,unidad,0.0,0.0,true
SKU-A0151E5DAD,Saca Punta,Saca Punta,Vinifan,Unidad,2.0,0.6667,false
SKU-403887F2ED,Saca Punta con Deposito,Saca Punta,Artesco,Unidad,3.5,2.0,false
SKU-D417DACFAA,Saca Punta con Deposito,Saca Punta,Picaso,Unidad,2.0,1.0,false
SKU-EAF5D42FCB,Saca Punta con Deposito,Saca Punta,Oval,Unidad,2.0,1.0,false
SKU-35AF7B573B,Saca Punta con Deposito 8917,Saca Punta,Relampago,Unidad,2.0,1.0,false
SKU-3F04396584,Saca Punta con M-207,Saca Punta,,Unidad,0.5,0.2542,false
SKU-937E9BF695,Saca Punta M-557,Saca Punta,Artesco,Unidad,2.0,0.6667,false
SKU-21586425F2,Saca Punta Metal,Saca Punta,Artesco,Unidad,1.5,0.7467,false
SKU-D8FF390C71,Saca Punta Metal Doble,Saca Punta,Artesco,Unidad,2.5,1.8,false
SKU-B2904A3F21,serpentina,,,unidad,0.0,0.0,true
SKU-6549630E71,Set borradores rabbit y comida rapida x3,,,unidad,0.0,0.0,true
SKU-0B24D6F164,Set de borradores modelo oso queso x 3,,,unidad,0.0,0.0,true
SKU-64AF411C73,Set de escuadras kuromi,,,unidad,0.0,0.0,true
SKU-56432F1B7F,Set de resaltador pastel x 6,,,unidad,0.0,0.0,true
SKU-7EEE248D9B,Silicona delgada en barra,silicona,,unidad,0.0,0.0,true
SKU-B353E19BF7,Silicona en barrra,,,unidad,0.0,0.0,true
SKU-FEBDB0D6D3,Silicona liquida 100g,silicona,Layconsa,unidad,0.0,0.0,true
SKU-9A059C1BC2,Silicona liquida 250g,silicona,Layconsa,unidad,0.0,0.0,true
SKU-7CD255990C,silicona liquida pequeña,,,unidad,0.0,0.0,true
SKU-530AAFE75A,silvato pequeño,,,Unidad,0.5,0.2,false
SKU-FCEB95A265,Sketch book 15h,SketchBook,,Unidad,3.5,2.1667,false
SKU-C2CDBEE0B5,Sketch book 25h,Sketch Book,,Unidad,4.5,2.6643,false
SKU-D458444EA7,Sketch book 50h,Sketch Book,,Unidad,8.0,8.0,false
SKU-5AF26D5396,Sobre Manila A4 premium,,,Unidad,1.0,0.4444,false
SKU-14F63E966D,Stiker cuaderno,,,unidad,0.0,0.0,true
SKU-BA9E6F373B,STIKER DE PRECIOS,,,unidad,0.0,0.0,true
SKU-5C73B60915,Stikers de Portada - Plancha,,,Unidad,0.2,0.125,false
SKU-448A8AC612,Stikers Have Love,,,Unidad,1.0,0.48,true
SKU-259711D0CD,Super esponja,,,Unidad,1.0,0.4583,false
SKU-F8C11BD284,Tabla periodica,,,Unidad,1.5,0.6667,false
SKU-0D608B9E69,Tableros Acrilicos,,,Unidad,11.0,7.0,false
SKU-398C843E98,Tamgram,Juegos didacticos,,unidad,0.0,0.0,true
SKU-C6455B5467,Tampon Negro,Tampon,Artesco,Unidad,5.0,3.0,false
SKU-846F88306F,Tampon Rojo L-T3,Tampon,Layconsa,Unidad,4.0,2.4,false
SKU-570671D729,Tapa boca negro,,,Unidad,0.5,0.1,false
SKU-5345D33C2E,Tapa boca pequeño,,,Unidad,0.5,0.08,false
SKU-16733DCBFC,Tapa boca pequeño rosado,,,Unidad,0.5,0.0833,false
SKU-E4B751776A,tapitas de botella,Juegos didacticos,,unidad,0.0,0.0,true
SKU-4FD29741F2,taps,,,unidad,0.0,0.0,false
SKU-8A83060E82,Tarjador animalitos,,,unidad,0.0,0.0,true
SKU-596614038E,Tarjadores,Saca Punta,,Unidad,1.0,0.5,false
SKU-58B59695F9,tasa con rosas,,,unidad,0.0,0.0,true
SKU-DFB871122D,Temperas x7,Tempera,Layconsa,Cajitas,7.0,5.0,true
SKU-7538FE51BC,Tijera Artesco mango goma,Tijera,Artesco,unidad,0.0,0.0,true
SKU-418AE7AD5C,Tijera Eco,Tijera,Eco,unidad,0.0,0.0,true
SKU-B0946D98AA,Tijera escolar,Tijera,Layconsa,unidad,0.0,0.0,true
SKU-B763AB4CA4,Tijeras Acolores,Tijera,,Unidad,1.5,0.6235,false
SKU-55A37B661F,Tijeras amarillas,Tijera,,Unidad,1.5,0.625,false
SKU-0FC7E58E52,Tijeras R-Relampago con formas,Tijera,,Unidad,3.5,1.6667,false
SKU-980BA39232,tiros,,,unidad,0.0,0.0,true
SKU-FA80AA5B55,Toalla con diseño,Toallas,,Unidad,5.0,3.5,true
SKU-A292B4DE9C,Toalla sin diseño,Toallas,,Unidad,4.0,1.5,true
SKU-9F897FBDE0,Tomatodo Grande,,Artesco,Unidad,15.0,12.0,false
SKU-9A43DE1973,Tomatodo Mediano tricolor,,,Unidad,15.0,12.0,false
SKU-31ACA0DEE5,Tomatodo pequeño,,,Unidad,10.0,7.0,false
SKU-3F113AD6D9,Trish,,,Unidad,0.5,0.3,false
SKU-35F30621F4,trompos,,,Unidad,1.0,0.6625,false
SKU-E4F5832814,ula ula,,,unidad,5.0,4.0,false
SKU-232269CDDF,Vaso de plastico,,,unidad,0.0,0.0,true
SKU-C9F006ABBA,vedhiculo constructor 077-31,Juguetes,,Unidad,10.0,7.0,false
SKU-5228AD825B,Vehiculo constructor 5468,Juguetes,,Unidad,12.0,6.0,false
SKU-A37A3F0DA8,Vehiculo Constructor 677-42A,Juguetes,,Unidad,15.0,11.0,false
SKU-1AE47B4AA5,vincha 104,,,Unidad,1.5,1.0,false
