supplier_name,supplier_code,purchase_batch,product_sku,product_name,unit,qty,cost_unit,total_cost,etiqueta_nuevo
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-308DF87D2B,Lapiz 2B Titan,Cajitas,2.0,7.5,15.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-8FC03EDBA8,Lapiz Grazo Negro,Docena,2.0,26.0,52.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-ACD539DCF8,Lapiz Semi Negro,Docena,2.0,26.0,52.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-90944B7E8F,Lapiz tecnico 6B,Docena,2.0,8.5,17.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-4985AB403E,Lapiz Punsonez,Ciento,1.0,28.0,28.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-A292B4DE9C,Toalla sin diseño,Paquete,1.0,24.0,24.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-FA80AA5B55,Toalla con diseño,Paquete,1.0,36.0,36.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-0F68E2EC13,Micas A4,1/2 Ciento,50.0,0.52,26.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-7A82393C55,Baja Lengua - Blanco,Paquete,2.0,5.0,10.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-FB6932B48B,Baja Lengua  de color grande,Paquete,1.0,8.0,8.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-71703659EC,"Botellas de Temperas (Amarillo, rojo, Azul) -  (Rojo, azul,  verde, amarillo, negro, blanco)",Docena,2.0,54.0,108.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-DFB871122D,Temperas x7,Docena,1.0,68.0,68.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-6A944058B9,Lapicero Trilux - 035,Cajas,1.0,22.5,22.5,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-F06AE39D3D,Hizopo,Unidad,12.0,0.666667,8.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-D9A535C356,Pozzis limpiatipo,Unidad,12.0,1.833333,22.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-448A8AC612,Stikers Have Love,Unidad,50.0,0.48,24.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-96A54B592D,Microporoso Glitter self Adhesivo letras escarchados,Paquete,3.0,8.0,24.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-51D94161E4,Cinta Leon scosh pq grueso 18*45,Unidad,12.0,1.083333,13.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-EE5659CFF7,Cinta Grande Durango embalaje,Unidad,6.0,2.333333,14.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-A744CA3157,Cinta Maskin shurtaple 1*15,Unidad,12.0,1.5,18.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-78A62B9611,Papel Lustre,Ciento,100.0,0.3,30.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-1EDA4B9225,Papel Corrospum,Unidad,2.0,12.0,24.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-9D4E4EE716,Papel Sedita,Ciento,100.0,0.18,18.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-9FCECC1704,Papel Cometa,Ciento,1.0,36.0,36.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-A47A5E460A,Papel microporoso escarchado,Paquete,3.0,24.0,72.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-7762F9C08A,Papel Crepe,Paquete,11.0,4.272727,47.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-3023CF7487,Papel Punzones A4,Paquete,2.0,18.0,36.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-9FD0B9F742,Juego de reglas 20 cm,Unidad,12.0,2.333333,28.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-53F12AE701,Juego de reglas 30 cm,Unidad,12.0,3.5,42.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-5FE2F611DF,Portafolio Papel,Unidad,6.0,6.0,36.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-0E6AA9F21D,Paletas de pinturas,Unidad,12.0,1.833333,22.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-FE809B4294,Libro de Cuentos,Unidad,6.0,3.0,18.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-C34DBFF5C5,Pincel Sobre,Sobre,6.0,5.333333,32.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-6381846E56,Plumon marcador Jumbo L-47 x12,Unidad,3.0,11.0,33.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-E082FFFBDB,Base 10,Unidad,12.0,8.0,96.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-8697FBECCC,Abaco,Unidad,6.0,8.5,51.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-66529C0038,Dados Grandes,Sobre,1.0,30.0,30.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-398C843E98,Tamgram,Sobre,6.0,6.5,39.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-E4B751776A,tapitas de botella,Ciento,100.0,0.09,9.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-6B0F82BDFF,bloques,Unidad,6.0,6.5,39.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-A4C46F4DA5,Papel microporoso liso,Paquete,3.0,15.666667,47.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-F0552067DA,Cuadernos stanford 2x2,Unidad,25.0,5.4,135.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-E8640331AC,cuadernos stanford 1x1,Unidad,25.0,5.4,135.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-9FB3EB5C65,papel lustre blanco y surtido a color,Unidad,125.0,0.3,37.5,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-CB9437A81C,"bolson de l,ona",Unidad,12.0,6.5,78.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-B2904A3F21,serpentina,Paquete,1.0,12.0,12.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-DAADE270A8,Folder doble tapa,Unidad,6.0,5.5,33.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-6AD4414B14,Cartuchera surtido cuero,Unidad,12.0,5.5,66.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-78B895FADB,Plumon L-47 papel,Cajitas,3.0,18.0,54.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-1C8518A3F6,Plumon school L-45 x 12,Docena,1.0,58.0,58.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-24D54B3207,Colores Largos x 12,Docena,2.0,70.0,140.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-D35B231535,Colores cortos x 12,Docena,2.0,48.0,96.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-D8FC9604BF,Goma en barra 40g,Docena,1.0,36.0,36.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-BF27740F3E,Goma liquida 250g,Docena,2.0,34.0,68.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-CF887E5EC4,Goma en barra 8 gr,Cajitas,1.0,33.0,33.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-83F6CC885D,Goma liquida 125g,Docena,2.0,24.0,48.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-9A059C1BC2,Silicona liquida 250g,Docena,2.0,60.0,120.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-FEBDB0D6D3,Silicona liquida 100g,Docena,2.0,36.0,72.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-096E7DB466,Lapicero pilot azul,Cajitas,1.0,29.0,29.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-CEFF1F2EA0,lapicero 060 azul rojo,Cajitas,2.0,13.0,26.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-E7A85984D4,"lapicero azul, rojo, negro y verde",Cajitas,4.0,12.5,50.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-83CD5D38B1,Borrador Aval x 20,Cajitas,1.0,10.0,10.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-384706C8BB,Borrador Aval x 30,Cajitas,1.0,10.0,10.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-25611AAAAD,Borrador layconsa bicolo x50,Cajitas,1.0,24.0,24.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-418AE7AD5C,Tijera Eco,Cajitas,1.0,16.0,16.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-B0946D98AA,Tijera escolar,Docena,1.0,20.0,20.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-D8947D85F1,Pincel surtido 0/00/000,Docena,12.0,4.0,48.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-6F4B1E2A08,Cuter por tiras d 12,Paquete,2.0,8.0,16.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-67CEA9B1B6,forro artesco,Docena,12.0,2.333333,28.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-BA9E6F373B,STIKER DE PRECIOS,Unidad,12.0,1.0,12.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-74D37CB40E,Cinta scoth delgado,Paquete,6.0,2.833333,17.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-3AFD2E7935,Cuaderno Markin # 100 h,1/2 Ciento,50.0,3.0,150.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-165935C822,cuaderno markin triple reglon 100 h,1/4 ciento,25.0,3.0,75.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-87FB5C45C1,Cartulina blanca,Ciento,1.0,32.0,32.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-9E86C13A28,Crepe con diseño,Paquete,3.0,12.0,36.0,
Empresa Ayrampo,SUP-EMPRESA-AYRAMPO,COMPRA-HOJA1-EMPRESA-AYRAMPO,SKU-F0F3D54703,Cinta Maskin shurtaple 2*15,Cajas,1.0,52.0,52.0,
