supplier_name,product_sku,product_name,unit,reason,etiqueta_nuevo
Empresa Ayrampo,SKU-8697FBECCC,Abaco,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-AAD11162D5,adorno niño selvatico,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-E784193A9C,adornos para el dia del padre,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-E082FFFBDB,Base 10,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-9DACA2AC67,betun negro mediano,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-6B0F82BDFF,bloques,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-CB9437A81C,"bolson de l,ona",unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-83CD5D38B1,Borrador Aval x 20,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-384706C8BB,Borrador Aval x 30,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-25611AAAAD,Borrador layconsa bicolo x50,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-B6B52CD788,borradores patita,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-F7DA7DEB25,borradores transparentes,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-B1DE97BF6F,brocheta intermedia,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-1B4019FFD0,carton cartulina,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-6AD4414B14,Cartuchera surtido cuero,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-488624C093,cartucheras,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-87FB5C45C1,Cartulina blanca,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-D726876DA1,Cartulina Negra,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-8EC5F5CD1C,cepillo colgate,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-EC04730CBE,chinches,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-65B092F11F,cholito,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-50A319EDA9,cinta capibara,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-F80351F0F5,cinta de agua,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-6E4CFB4AB7,cinta de cabello verde y kaky,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-F0F3D54703,Cinta Maskin shurtaple 2*15,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-74D37CB40E,Cinta scoth delgado,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-D35B231535,Colores cortos x 12,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-73ECB72794,Colores Jumbo,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-24D54B3207,Colores Largos x 12,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-F3BED90DF2,Corrector,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-96FF456458,cortauña pequeña,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-9E86C13A28,Crepe con diseño,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-3AFD2E7935,Cuaderno Markin # 100 h,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-165935C822,cuaderno markin triple reglon 100 h,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-C031FE8F76,cuadernos anillados capibara,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-E8640331AC,cuadernos stanford 1x1,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-F0552067DA,Cuadernos stanford 2x2,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-6F4B1E2A08,Cuter por tiras d 12,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-66529C0038,Dados Grandes,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-9D9DA3D551,escarapela,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-2981C63A39,escarcha bliquida grande,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-DAADE270A8,Folder doble tapa,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-67CEA9B1B6,forro artesco,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-1046AB44A5,glitter de escarcha liquida x 6,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-D8FC9604BF,Goma en barra 40g,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-CF887E5EC4,Goma en barra 8 gr,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-6AFF87246E,goma en barra ranparente,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-83F6CC885D,Goma liquida 125g,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-BF27740F3E,Goma liquida 250g,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-C74ADF4922,Hojas de color 100 und,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-81B56FA010,jaboncillo camai,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-CEFF1F2EA0,lapicero 060 azul rojo,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-B2F5C02F79,Lapicero a color x 12 und,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-41BFC833EE,lapicero azul rojo layconsa,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-E7A85984D4,"lapicero azul, rojo, negro y verde",unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-04E6FF7B12,Lapicero borrable conejo,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-CFBA4FF0E5,Lapicero borrrable chocolate osito,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-B298BDA13D,Lapicero brillante x12 und,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-0202856B37,lapicero escarchado x 6,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-8BE215E80A,Lapicero kawai x 10,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-096E7DB466,Lapicero pilot azul,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-145EBEB2A3,Lapicero tinta gel con orejitas,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-0868F564AF,lapiceros capibara,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-64BDAEE8CD,lapiceros happy,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-44763E1EDC,lapiceros kuromi,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-B8814F277F,lapiceros osito,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-8C03C7B0A4,lapiz con diseño,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-CC7C567DF1,Lapiz Jumbo,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-D7B21404F3,Llavero capibara monedero,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-4D785AB75B,Llavero capibara televisor,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-06298A559F,loncheras,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-A8C9B88E81,micas con diseño,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-93E5BF3071,Microporoso escarchado A4,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-DDAC91E10D,Papel boom,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-2544F733EC,Papel boom 70 gr,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-34FB243C18,papel boom acolor pastel,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-9FB3EB5C65,papel lustre blanco y surtido a color,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-A4C46F4DA5,Papel microporoso liso,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-D80DB7710E,papel sedita,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-4EE3C50F1D,Papel suave higienico,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-B1B6F52169,papel toalla,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-77F19E15CF,Pasta dental,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-8D8B2631DB,Pelotas de trapo,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-2BEED389E4,perlas adornos,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-D8947D85F1,Pincel surtido 0/00/000,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-039AB24A72,Platilina ultra suave x6,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-DCB1B82D14,Plumon de pizarra vikingo x12,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-8D86A147F9,Plumon fabercito de 10 und,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-BA273CD9CC,Plumon indeleble azul y negro,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-78B895FADB,Plumon L-47 papel,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-1C8518A3F6,Plumon school L-45 x 12,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-3BE02203E7,posit cuadriculado,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-8601F96067,Puntero,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-67EC263080,Regla expandible,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-250A95296D,Resaltador pastel x 6 und,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-44D2FC2D50,rosas,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-383B65F71F,rosas con osito,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-0C2AB09E16,rositas x 3,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-B2904A3F21,serpentina,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-6549630E71,Set borradores rabbit y comida rapida x3,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-0B24D6F164,Set de borradores modelo oso queso x 3,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-64AF411C73,Set de escuadras kuromi,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-56432F1B7F,Set de resaltador pastel x 6,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-7EEE248D9B,Silicona delgada en barra,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-B353E19BF7,Silicona en barrra,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-FEBDB0D6D3,Silicona liquida 100g,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-9A059C1BC2,Silicona liquida 250g,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-7CD255990C,silicona liquida pequeña,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-14F63E966D,Stiker cuaderno,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-BA9E6F373B,STIKER DE PRECIOS,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-398C843E98,Tamgram,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-E4B751776A,tapitas de botella,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-8A83060E82,Tarjador animalitos,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-58B59695F9,tasa con rosas,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-7538FE51BC,Tijera Artesco mango goma,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-418AE7AD5C,Tijera Eco,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-B0946D98AA,Tijera escolar,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-980BA39232,tiros,unidad,Cantidad igual a 0 en el Excel,true
Empresa Ayrampo,SKU-232269CDDF,Vaso de plastico,unidad,Cantidad igual a 0 en el Excel,true
